affixId,group,stat,rollType,min,max,weight,qualityMin,qualityMax
int,int,string,int,float,float,float,int,int
c,c,c,c,c,c,c,c,c
主键,词条组（1前缀攻击系2后缀生存系）,作用属性键,1百分比2平面值,基准区间下限,基准区间上限,抽取权重,最低品质（0白..5红）,最高品质
1,1,atk,1,0.04,0.10,1.0,0,5
2,1,mag,1,0.04,0.10,1.0,0,5
3,1,critRate,1,0.02,0.06,1.0,0,5
4,1,critDmg,1,0.08,0.20,1.0,0,5
5,1,spd,1,0.03,0.08,1.0,0,5
6,1,dmgElem1,1,0.06,0.15,0.5,0,5
7,1,dmgElem2,1,0.06,0.15,0.5,0,5
8,1,dmgElem3,1,0.06,0.15,0.5,0,5
9,1,dmgElem4,1,0.06,0.15,0.5,0,5
10,1,dmgElem5,1,0.06,0.15,0.5,0,5
11,2,hp,1,0.05,0.12,1.0,0,5
12,2,def,1,0.05,0.12,1.0,0,5
13,2,res,1,0.05,0.12,1.0,0,5
