buffId,name,kind,modStat,modPct,modStat2,modPct2,dotPct,dotElement,markElement,markPct,ctrlRes,stacks,duration,captureLinked,control
int,string,int,string,float,string,float,float,int,int,float,float,int,int,bool,int
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
主键,状态名,类型1dot2控制3削弱4标记5增益6护盾,属性修正1,比例,属性修正2,比例,回合结算比例（dot伤害或再生回复）,dot元素,标记元素（受该元素伤害加成）,标记加成,控制抗性,最大层数,基础持续,是否捕捉联动（03文档5章）,控制类型0无1冰冻2眩晕3催眠4麻痹5封技
1,中毒,1,none,0,none,0,0.05,0,0,0,0,3,3,true,0
2,灼烧,1,none,0,none,0,0.05,4,0,0,0,3,3,true,0
3,腐蚀,3,def,-0.15,none,0,0,0,0,0,0,2,3,true,0
4,冰冻,2,none,0,none,0,0,0,0,0,0,1,1,true,1
5,麻痹,2,none,0,none,0,0,0,0,0,0,1,2,true,4
6,眩晕,2,none,0,none,0,0,0,0,0,0,1,1,true,2
7,催眠,2,none,0,none,0,0,0,0,0,0,1,3,true,3
8,破甲,3,def,-0.2,none,0,0,0,0,0,0,2,2,false,0
9,迟缓,3,spd,-0.25,none,0,0,0,0,0,0,1,2,false,0
10,封技,3,none,0,none,0,0,0,0,0,0,1,1,false,5
11,灼印,4,none,0,none,0,0,0,4,0.3,0,1,3,false,0
12,湿身,4,none,0,none,0,0,0,3,0.25,0,1,2,false,0
13,护盾,6,none,0,none,0,0,0,0,0,0,1,1,false,0
14,蓄势,5,dmg,0.4,none,0,0,0,0,0,0,1,2,false,0
15,狂暴,5,atk,0.25,def,-0.1,0,0,0,0,0,1,3,false,0
16,迅捷,5,spd,0.3,none,0,0,0,0,0,0,1,2,false,0
17,再生,5,none,0,none,0,0.06,0,0,0,0,1,3,false,0
18,坚韧,5,def,0.25,none,0,0,0,0,0,0.3,1,2,false,0
