buildingId,name,maxLevel,unlockRealm,effectKind,effectBase,effectStep,upgradeCostKey,upgradeCostBase,upgradeCostStep
int,string,int,string,enum<BuildingEffect>,float,float,string,int,int
c,c,c,c,c,c,c,c,c,c
主键,建筑,最高等级,解锁境界,效果类型,基础值,每级增量,消耗货币,基础消耗,每级增量
1,议事堂,10,淬体,1,0,1,spiritCrystal,100,80
2,民居,8,淬体,1,3,1,spiritCrystal,80,60
3,兽栏,10,淬体,4,15,1.5,spiritCrystal,100,80
4,灵田,6,淬体,1,3,1,spiritCrystal,120,100
5,矿场,6,凝血,1,1,1,spiritCrystal,150,120
6,城墙箭塔,6,凝血,5,500,400,beastShell,200,150
7,锻造炉,5,凝血,3,1,0.5,beastShell,150,120
8,药庐,5,凝血,3,1,0.5,beastShell,150,120
9,仓库,6,凝血,2,1,0.5,beastShell,120,100
10,集市,5,通脉,3,1,0.5,beastShell,200,160
11,演武场,5,通脉,3,1,0.5,beastShell,180,150
12,图腾柱,5,通脉,1,12,12,spiritCrystal,300,200
13,祭坛,3,开窍,3,1,0,spiritCrystal,500,0
14,藏宝洞,3,开窍,3,6,3,spiritCrystal,400,300
15,铁匠铺,3,开窍,3,1,0,beastShell,250,0
