groupId,slot,petId,level,apt,strategy
int,int,ref<PetBase>,int,int,string
c,c,c,c,c,c
敌人组,槽位,灵宠,等级,资质（各维统一）,组策略random/focus_weak/focus_squishy/caster_first
1,1,1004,4,700,random
1,2,1004,4,700,random
2,1,1003,8,750,random
2,2,1003,8,750,random
3,1,1002,10,800,random
3,2,1004,9,750,random
4,1,1002,12,850,focus_weak
4,2,1003,12,800,random
5,1,1003,14,900,focus_weak
5,2,1003,14,900,random
5,3,1002,13,900,random
6,1,1003,18,1050,focus_weak
6,2,1003,16,950,random
6,3,1002,15,950,caster_first
7,1,1005,22,950,random
7,2,1005,22,950,random
8,1,1005,24,1000,focus_weak
8,2,1007,23,950,random
9,1,1007,26,1050,focus_weak
9,2,1005,25,1000,random
9,3,1007,25,1000,caster_first
10,1,1006,30,1150,focus_weak
10,2,1007,28,1050,random
10,3,1005,27,1050,caster_first
11,1,1006,34,1200,random
11,2,1006,34,1200,random
12,1,1008,38,1250,focus_weak
12,2,1008,36,1200,random
12,3,1007,36,1150,caster_first
13,1,1008,40,1300,focus_weak
13,2,1008,38,1250,random
13,3,1006,37,1200,caster_first
14,1,1010,44,1350,focus_weak
14,2,1010,42,1300,random
14,3,1008,42,1250,caster_first
15,1,1010,48,1400,focus_weak
15,2,1011,46,1350,random
15,3,1010,46,1350,caster_first
16,1,1011,52,1450,focus_weak
16,2,1011,50,1400,random
16,3,1010,50,1400,caster_first
17,1,1011,56,1500,focus_weak
17,2,1011,54,1450,random
17,3,1010,54,1450,caster_first
18,1,1012,60,1550,focus_weak
18,2,1011,58,1500,random
18,3,1012,58,1500,caster_first
