enumName,value,label
string,int,string
c,c,c
枚举名,值,中文说明
Elem,1,金
Elem,2,木
Elem,3,水
Elem,4,火
Elem,5,土
Elem,6,阴
Elem,7,阳
Quality,1,凡兽
Quality,2,灵兽
Quality,3,玄兽
Quality,4,荒兽
Quality,5,王兽
Quality,6,神兽
Tpl,1,物理输出
Tpl,2,法术输出
Tpl,3,坦克
Tpl,4,辅助
BuffKind,1,持续伤害
BuffKind,2,控制
BuffKind,3,削弱
BuffKind,4,标记
BuffKind,5,增益
BuffKind,6,护盾
NodeType,1,剧情
NodeType,2,目标
NodeType,3,教学
GoalType,0,无
GoalType,1,通关关卡
GoalType,2,捕捉灵宠
GoalType,5,收获作物
DropSource,1,普通野怪
DropSource,2,精英
DropSource,3,域主Boss
DropSource,4,凶兽潮
DropSource,5,异变之地
