key,value,desc
string,float,string
c,c,c
常量键,值,说明（变更须记changelog）
DEF_K,220,防御减免K值（02文档4.2）
MIT_CAP,0.7,实战减免上限
CRIT_BASE,0.05,基础暴击率
CRIT_DMG,1.5,暴击伤害系数
HIT_BASE,0.95,基础命中率
FLOAT_MIN,0.9,伤害浮动下限
FLOAT_MAX,1.1,伤害浮动上限
RAGE_ATK,30,普攻命中怒气获取
RAGE_HIT,10,受击怒气获取
RAGE_MAX,100,怒气上限（绝技消耗）
ROUND_CAP,30,回合上限（超时判进攻方负）
CTRL_DIM,0.6,控制递减系数（3回合窗口内第N+1次×0.6^N）
CTRL_DIM_WINDOW,3,控制递减统计窗口（回合）
CLASH_ADV,1.5,克制伤害系数
CLASH_DIS,0.75,被克伤害系数
BRK_LV2,15,成兽解锁等级
BRK_LV3,40,开灵解锁等级
BRK_LV4,80,完全体解锁等级
BRK_LV5,120,太古体解锁等级
BRK_M2,1.15,成兽属性倍率
BRK_M3,1.35,开灵属性倍率
BRK_M4,1.6,完全体属性倍率
BRK_M5,1.9,太古体属性倍率
REALM_MULT,1.15,境界全局倍率（每突破一大境）
CAP_GOURD_WOOD,0.35,木葫芦基础捕捉率
CAP_GOURD_COPPER,0.45,铜葫芦基础捕捉率
CAP_GOURD_JADE,0.55,玉葫芦基础捕捉率
CAP_GOURD_ANC,0.65,祖灵葫芦基础捕捉率
CAP_Q1,1.0,凡兽品质系数
CAP_Q2,0.7,灵兽品质系数
CAP_Q3,0.4,玄兽品质系数
CAP_Q4,0.15,荒兽品质系数
CAP_Q5,0.05,王兽品质系数
CAP_HP_HI,0.3,血量高于50%系数
CAP_HP_MID,0.7,血量20%-50%系数
CAP_HP_LO,1.0,血量低于20%系数
CAP_ST_CTRL,1.5,控制状态系数
CAP_ST_DEBUFF,1.2,削弱状态系数
CAP_LVL_PEN,0.02,等级压制每级惩罚
CAP_LVL_CAP,10,等级压制封顶级数
POWER_W_HP,0.1,战力公式HP权重
POWER_W_ATK,2.2,战力公式攻击权重
POWER_W_DEF,1.8,战力公式防御权重
POWER_W_MAG,2.2,战力公式灵力权重
POWER_W_RES,1.6,战力公式抗性权重
POWER_W_SPD,2.5,战力公式速度权重
ANCHOR_POW_15,1250,战力锚点：15级
ANCHOR_POW_40,3300,战力锚点：40级
ANCHOR_POW_80,9200,战力锚点：80级
ANCHOR_POW_120,27600,战力锚点：120级
ANCHOR_TOL,0.15,锚点容差
EQUIP_LEVEL_MIN,1,装备最低等级（08 §4）
EQUIP_MAIN_LV_SCALE,0.04,装备主属性等级缩放（08 §4）
EQUIP_AFFIX_LV_SCALE,0.03,词条数值等级缩放（08 §5）
SEASON_EPOCH_UTC_SEC,1735689600,全局季纪元（2025-01-01T00:00Z；docs/15 §1.3）
OFFLINE_CAP_BASE_SEC,43200,离线收益基础上限 12h（docs/15 §2.2）
OFFLINE_CAP_TOTEM_SEC,86400,图腾二段离线上限 24h
STORAGE_DECAY_PCT,0.1,仓储溢出每周期衰减比例
STORAGE_DECAY_PERIOD_SEC,86400,仓储溢出衰减周期（24h）
STAMINA_MAX,100,派遣体力上限
STAMINA_DRAIN_PER_H,10,派遣每小时体力消耗
MOOD_MAX,100,心情上限
BARN_MOOD_REGEN_PER_H,20,兽栏休息心情恢复/时
TIDE_WAVE_INTERVAL_SEC,43200,兽潮波次间隔（12h）
TIDE_MAX_MISSED_WAVES,4,离线错过兽潮补结算上限
