questId,chapterId,order,nodeType,title,goalType,targetId,count,rewardXiu
int,int,int,enum<NodeType>,string,enum<GoalType>,int,int,int
c,c,c,c,c,c,c,c,c
主键,章节,顺序,节点类型,标题,目标类型,目标ID,数量,修为奖励
1,0,1,1,兽潮之夜,0,0,0,200
2,0,2,2,守住第一波,1,1,1,300
3,0,3,3,收服第一只,2,0,1,200
4,1,1,1,黑风林的低语,0,0,0,300
5,1,2,2,藤影清剿,1,2,1,400
6,1,3,2,首件战利品,3,0,1,400
7,1,4,3,鉴定开光,4,0,1,300
8,1,5,2,木系图鉴·初,2,1003,3,400
9,1,6,2,三兽成阵,6,0,3,500
10,1,7,3,播种时节,5,0,1,300
11,1,8,2,雾深处,1,4,1,500
12,1,9,2,老藤营地,1,5,1,600
13,1,10,2,域主·藤皇,1,6,1,1000
14,2,1,1,赤炎谷的召唤,0,0,0,400
15,2,2,2,余烬小径,1,7,1,500
16,2,3,2,火岩裂谷,1,8,1,600
17,2,4,2,火系图鉴·初,2,1006,2,500
18,2,5,3,矿场初开,5,0,2,400
19,2,6,2,熔岩深渊,1,9,1,700
20,2,7,2,域主·火岩犼,1,10,1,1200
21,3,1,1,雷鸣泽的传说,0,0,0,500
22,3,2,2,雾岸,1,11,1,600
23,3,3,2,雷暴湖,1,12,1,700
24,3,4,2,金系图鉴·初,2,1007,2,600
25,3,5,3,锻造初试,5,0,3,500
26,3,6,2,电弧峡谷,1,13,1,800
27,3,7,2,啸月高地,1,14,1,900
28,3,8,2,域主·啸月狼,1,15,1,1500
29,4,1,1,深层裂隙,0,0,0,600
30,4,2,2,裂隙探索,1,16,1,800
31,4,3,2,雷狱,1,17,1,1000
32,4,4,2,太古雷蛟,1,18,1,2000
