petId,name,element,quality,template,offHp,offAtk,offDef,offSpd,offMag,offRes,aptitudes,laborPow,laborDex,laborApt,natures,breaks,captureNote
int,string,int,int,int,float,float,float,float,float,float,array<int>(10),int,int,int,array<string>(4),array<string>(5),string
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
主键1001起,名称,五行,品质,定位模板,HP偏移,攻击偏移,防御偏移,速度偏移,灵力偏移,抗性偏移,资质范围atkMin;atkMax;defMin;defMax;hpMin;hpMax;spdMin;spdMax;magMin;magMax,力气,灵巧,木灵亲和,性格池,五阶段突破链,捕捉说明
1001,灰岩獒,5,2,3,0.05,0,0.08,-0.05,0,0,600;850;720;1000;700;950;600;850;550;800,105,45,55,沉稳;强壮;温顺;坚韧,幼犬;猎獒;岩纹獒;灰岩兽;岩王獒,初始赠予
1002,桃夭狐,2,2,4,-0.03,0,0,0,0.08,0,550;800;600;850;620;880;650;900;750;1000,35,70,110,聪慧;温顺;敏捷;沉稳,幼狐;桃尾狐;双尾灵狐;三尾桃仙;九尾桃夭,黑风林
1003,藤蔓妖,2,1,3,0.1,-0.08,0,0,0,0,550;780;650;900;680;900;560;800;500;750,80,50,135,温顺;沉稳;强壮;坚韧,藤芽;老藤;藤精;藤魔;千年藤王,黑风林
1004,灰羽雀,2,1,4,-0.08,0,0,0.1,0,0,550;800;550;800;550;800;680;900;550;800,30,95,100,敏捷;温顺;聪慧;沉稳,雏雀;灰羽;青翎雀;风信雀;雀灵,黑风林
1005,朱羽雉,4,2,2,0,0,0,0,0.05,-0.03,550;820;550;820;550;820;650;900;720;1000,45,80,40,暴躁;聪慧;狂野;敏捷,雏雉;朱羽;赤翎雉;火翎雉;涅槃朱凤,赤炎谷
1006,火岩犼,4,3,1,-0.03,0.1,0,0,0,0,800;1150;600;880;700;950;600;880;600;880,130,40,20,暴躁;狂野;强壮;坚韧,幼犼;火犼;熔岩犼;炎狱犼;焚山犼王,赤炎谷精英（玉葫芦+高阶驯兽符）
1007,雷纹貂,1,2,1,-0.05,0,0,0.1,0,0,700;950;550;850;550;850;750;1000;550;850,50,120,45,敏捷;狂野;聪慧;暴躁,幼貂;雷纹;电弧貂;掣电貂;雷泽貂仙,雷鸣泽
1008,啸月狼,1,3,1,0,0.08,0,0.05,0,0,800;1150;620;900;620;900;700;1000;620;900,115,60,30,狂野;暴躁;坚韧;沉稳,狼崽;独狼;啸月;雷啸狼王;荒原狼神,雷鸣泽精英
1009,玄冰鲤,3,2,2,0,0,0,-0.03,0,0.08,550;850;550;850;550;850;550;850;700;1000,40,75,60,沉稳;聪慧;坚韧;温顺,鱼苗;玄鳞鲤;冰纹鲤;冻川鲤;北冥冰鲲,北冥冰原
1010,雪魅,3,3,1,-0.05,0,0,0,0.1,0,580;850;580;850;580;850;680;950;820;1150,25,90,70,聪慧;暴躁;敏捷;坚韧,雪粒;雪团;雪魅;风雪之魅;冰原雪神,北冥冰原精英
1011,石甲貔,5,2,3,0.08,0,0.1,-0.08,0,0,550;820;750;1000;720;980;550;820;550;820,125,30,50,沉稳;强壮;温顺;坚韧,幼貔;石壳貔;铁背貔;山岳貔;貔山,黄壤坡
1012,地听犬,5,1,4,0.05,0,0,-0.03,0,0,560;850;560;850;680;900;560;850;560;850,100,85,90,温顺;沉稳;聪慧;敏捷,幼犬;大耳犬;地听;闻山;地灵犬,黄壤坡
