petId,slot,skillId,learnLv
ref<PetBase>,int,ref<SkillConfig>,int
c,c,c,c
灵宠,槽位0普攻1主动2主动3绝技,技能,习得等级
1001,0,1,1
1001,1,2,1
1001,2,3,25
1001,3,4,40
1002,0,5,1
1002,1,6,1
1002,2,7,25
1002,3,8,40
1003,0,9,1
1003,1,10,1
1003,2,11,25
1003,3,12,40
1004,0,13,1
1004,1,14,1
1004,2,15,25
1004,3,16,40
1005,0,17,1
1005,1,18,1
1005,2,19,25
1005,3,20,40
1006,0,21,1
1006,1,22,1
1006,2,23,30
1006,3,24,45
1007,0,25,1
1007,1,26,1
1007,2,27,25
1007,3,28,40
1008,0,29,1
1008,1,30,1
1008,2,31,30
1008,3,32,45
1009,0,33,1
1009,1,34,1
1009,2,35,25
1009,3,36,40
1010,0,37,1
1010,1,38,1
1010,2,39,30
1010,3,40,45
1011,0,41,1
1011,1,42,1
1011,2,43,25
1011,3,44,40
1012,0,45,1
1012,1,46,1
1012,2,47,25
1012,3,48,40
