skillId,name,element,selector,effects,cd,rageGain,learnLv,isUlt
int,string,int,string,array<effect>,int,int,int,bool
c,c,c,c,c,c,c,c,c
主键,技能名称,属性0为无,目标选择器self/ally_all/ally_lowest/enemy_one/enemy_all/enemy_random/enemy_lowest,效果列表格式TYPE|power|buffId|duration|chance|hitCount|onSelf,冷却回合,怒气获取,习得等级,是否绝技
1,撕咬,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
2,岩壁冲撞,0,enemy_one,PhysDamage|1.5|0|0|1|1|0;Taunt|1|0|0|1|0|0,2,0,1,false
3,碎石践踏,0,enemy_one,PhysDamage|1.3|0|0|1|2|0,3,0,25,false
4,獒镇八方,0,enemy_one,PhysDamage|2.4|0|0|1|1|0;Shield|1.5|0|0|1|0|1,0,0,40,true
5,花瓣弹,2,enemy_one,MagDamage|1.0|0|0|1|1|0,0,30,1,false
6,桃夭·绽,0,ally_lowest,Heal|1.6|0|0|1|0|0,3,0,1,false
7,落英缚,2,enemy_one,MagDamage|0.8|0|0|1|1|0;ApplyBuff|0|9|2|1|0|0,3,0,25,false
8,九瓣回春,2,ally_all,Heal|1.4|0|0|1|0|0;ApplyBuff|0|17|3|1|0|0,0,0,40,true
9,鞭击,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
10,缠绕,2,enemy_one,MagDamage|0.9|0|0|1|1|0;ApplyBuff|0|7|3|0.9|0|0,3,0,1,false
11,藤甲,0,self,Shield|1.3|0|0|1|0|1,3,0,25,false
12,老藤囚笼,2,enemy_all,MagDamage|1.2|0|0|1|1|0;ApplyBuff|0|7|3|0.5|0|0,0,0,40,true
13,啄击,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
14,惊雀鸣,0,enemy_one,ApplyBuff|0|8|2|1|0|0,2,0,1,false
15,羽刃风暴,2,enemy_all,MagDamage|1.2|0|0|1|1|0,3,0,25,false
16,千羽穿云,2,enemy_one,MagDamage|2.0|0|0|1|1|0;ApplyBuff|0|16|2|1|0|1,0,0,40,true
17,火弹,4,enemy_one,MagDamage|1.0|0|0|1|1|0,0,30,1,false
18,焰羽,4,enemy_one,MagDamage|1.6|0|0|1|1|0;ApplyBuff|0|2|3|1|0|0,2,0,1,false
19,灼印,4,enemy_one,ApplyBuff|0|11|3|1|0|0,3,0,25,false
20,凤羽燎原,4,enemy_one,MagDamage|2.6|0|0|1|1|0;ApplyBuff|0|2|3|1|0|0,0,0,40,true
21,角撞,0,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
22,熔岩突进,0,enemy_one,PhysDamage|1.75|0|0|1|1|0,2,0,1,false
23,裂地践,0,enemy_all,PhysDamage|1.2|0|0|1|1|0;ApplyBuff|0|8|2|0.8|0|0,3,0,30,false
24,火岩崩山,4,enemy_one,PhysDamage|2.8|0|0|1|1|0;ApplyBuff|0|2|3|1|0|0,0,0,45,true
25,电爪,1,enemy_one,PhysDamage|1.0|0|0|1|1|0,0,30,1,false
26,雷驰,1,enemy_one,PhysDamage|1.4|0|0|1|1|0;ApplyBuff|0|16|2|1|0|1,2,0,1,false
27,麻痹咬,1,enemy_one,PhysDamage|1.0|0|0|1|1|0;ApplyBuff|0|5|2|0.8|0|0,3,0,25,false
