stageId,mapId,order,name,waves,dropId,dropCount,power,captureable,boss
int,int,int,string,refs<EnemyGroup>,ref<DropRule>,int,int,bool,bool
c,c,c,c,c,c,c,c,c,c
主键,地图1石岭村2黑风林3赤炎谷4雷鸣泽,顺序,关卡名,波次敌人组,掉落规则,掉落次数,推荐战力,含可捕捉野怪,是否Boss关
1,1,1,石岭村外·灰雀,1,1,2,250,true,false
2,2,1,黑风林·外围藤影,2,1,2,600,true,false
3,2,2,黑风林·桃狐小径,3,1,2,850,true,false
4,2,3,黑风林·雾深处,4,2,1,1100,true,false
5,2,4,黑风林·老藤营地,5,2,1,1400,false,false
6,2,5,域主·藤皇,6,3,1,1800,false,true
7,3,1,赤炎谷·余烬小径,7,1,2,2400,true,false
8,3,2,赤炎谷·火岩裂谷,8,2,1,3000,true,false
9,3,3,赤炎谷·熔岩深渊,9,2,1,3600,true,false
10,3,4,域主·火岩犼,10,3,1,4500,false,true
11,4,1,雷鸣泽·雾岸,11,1,2,5500,true,false
12,4,2,雷鸣泽·雷暴湖,12,2,1,6800,true,false
13,4,3,雷鸣泽·电弧峡谷,13,3,1,8000,true,false
14,4,4,雷鸣泽·啸月高地,14,3,1,9500,false,false
15,4,5,域主·啸月狼,15,3,1,11000,false,true
16,4,6,雷鸣泽·深层裂隙,16,4,1,13000,false,false
17,4,7,雷鸣泽·雷狱,17,4,1,15500,false,false
18,4,8,域主·太古雷蛟,18,5,2,18000,false,true
